parent	child	time
0	1	100
0	2	100
1	11	197
1	12	197
2	21	159
2	22	159
11	111	501
11	112	501
111	1111	580
111	1112	580
112	1121	684
112	1122	684
12	121	488
12	122	488
121	1211	543
121	1212	543
122	1221	401
122	1222	401
1221	12211	556
1221	12212	556
21	211	507
21	212	507
22	221	500
22	222	500
211	2111	456
211	2112	456
2112	21121	496
2112	21122	496
212	2121	336
212	2122	336
2121	21211	462
2121	21212	462
2122	21221	491
2122	21222	491
221	2211	383
221	2212	383
2211	22111	395
2211	22112	395
2212	22121	412
2212	22122	412
222	2221	361
222	2222	361
2221	22211	367
2221	22212	367
2222	22221	512
2222	22222	512
