type parent child length
N 25 26 197
N 25 34 159
N 26 27 501
N 26 30 488
N 27 28 580
N 27 29 684
N 34 35 507
N 34 41 500
N 35 36 456
N 35 38 336
N 38 39 462
N 38 40 491
N 39 13 216
N 39 14 216
N 41 42 383
N 41 45 361
N 42 43 395
N 42 44 412
N 45 46 367
N 45 47 512
N 43 17 243
N 43 18 243
N 44 19 226
N 44 20 226
N 46 21 293
N 46 22 293
N 47 23 148
N 47 24 148
E 28 1 402
E 28 2 402
E 29 3 298
E 29 4 298
E 30 31 543
E 30 32 401
E 31 5 452
E 31 6 452
E 32 9 594
E 32 33 556
E 33 7 38
E 33 8 38
E 36 10 122
E 36 37 496
E 37 11 62
E 37 12 62
E 40 15 187
E 40 16 187
