parent	child	time
0	1	100
0	2	100
1	11	266
1	12	266
2	21	323
2	22	323
11	111	579
11	112	579
111	1111	555
111	1112	555
1111	11111	553
1111	11112	553
112	1121	666
112	1122	666
1121	11211	813
1121	11212	813
1122	11221	671
1122	11222	671
12	121	607
12	122	607
121	1211	590
121	1212	590
122	1221	641
122	1222	641
1221	12211	730
1221	12212	730
21	211	576
21	212	576
22	221	728
22	222	728
211	2111	445
211	2112	445
2111	21111	510
2111	21112	510
2112	21121	462
2112	21122	462
212	2121	496
212	2122	496
2122	21221	560
2122	21222	560
221	2211	569
221	2212	569
2211	22111	599
2211	22112	599
222	2221	467
222	2222	467
2222	22221	658
2222	22222	658
