type parent child length
N 26 27 266
N 26 38 323
N 38 39 576
N 38 45 728
E 27 28 579
E 28 29 555
E 29 30 553
E 30 1 374
E 30 2 374
E 29 3 927
E 28 31 666
E 31 32 813
E 32 4 3
E 32 5 3
E 31 33 671
E 33 6 145
E 33 7 145
E 27 34 607
E 34 35 590
E 35 8 864
E 35 9 864
E 34 36 641
E 36 37 730
E 37 10 83
E 37 11 83
E 36 12 813
E 39 40 445
E 40 41 510
E 41 13 471
E 41 14 471
E 40 42 462
E 42 15 519
E 42 16 519
E 39 43 496
E 43 17 932
E 43 44 560
E 44 18 372
E 44 19 372
E 45 46 569
E 46 47 599
E 47 20 108
E 47 21 108
E 46 22 707
E 45 48 467
E 48 23 809
E 48 49 658
E 49 24 151
E 49 25 151
